recipe_slug	rating
falafel	0.5
spamburger	0.0
bacon-fried-rice	0.5
chicken-fingers	1.0
apple-crisp	0.5
cranberry-apple-crisp	0.5
bacon-chocolate-chip-cookies	0.5
sujebi	0.0
pasta-primavera	0.5
ramen	0.0
brownies	0.5
bacon-wrapped-scallops	0.0
bacon-egg-muffins	0.5
breakfast-burritos	0.5
bolognese-sauce	0.5
croissants	0.5
bacon-souffle	0.5
souffle	0.5
chocolate-souffle	0.5
butter-croissants	0.5
pickled-green-beans	0.5
fried-oysters	0.0
peanut-butter-brownies	0.5
almond-chip-cookies	0.5
guacamole	0.5
brioche-bread	0.5
brioche-bread-with-chocolate	0.5
asparagus-quiche	0.5
asparagus-burger	1.0
ma-la-chicken	1.0
cold-noodles-with-tomatoes	0.5
tamales	1.0
enchiladas	0.5
tacos	1.0
burritos	0.5
peanut-butter-cupcakes	0.5
pickled-asparagus	0.5
chocolate-peanut-butter-cake	0.5
udon	0.5
vegetable-lasagna	0.5
maple-bacon-donuts	0.5
maple-bacon-pancakes	0.5
spinach-and-ricotta-stuffed-shells	0.5
quesadillas	1.0
pico-de-gallo	0.5
nachos	0.5
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	1.0
loaded-nachos	0.5
lasagna	0.5
chicken-nuggets	1.0
pain-au-chocolat	0.5
nacho-dip	0.5
nacho-salad	1.0
nacho-casserole	0.5
nacho-fries	0.0
tempura-udon	0.5
peach-crisp	0.5
apple-pie	0.5
blueberry-crisp	0.5
berry-crumble	0.5
strawberry-rhubarb-crisp	0.5
peach-cobbler	0.5
cranberry-sauce	0.5
cherry-cobbler	0.5
apple-crumble	0.5
chocolate-croissants	0.5
french-toast	0.5
chocolate-babka	0.5
cinnamon-babka	0.5
blueberry-crumble	0.5
spam-musubi	0.0
taco-salad	1.0
chiles-rellenos	0.5
almond-croissants	0.5
cranberry-relish	0.5
ma-la-beef	1.0
chocolate-cake	0.5
spinach-quiche	0.5
mushroom-quiche	0.0
quiche-lorraine	0.5
croissant-aux-amandes	0.5
danishes	0.5
spinach-and-feta-quiche	0.5
cold-sesame-noodles	0.5
soba-noodle-salad-with-peanut-dressing	0.5
dan-dan-noodles	0.5
vanilla-souffle	0.5
bacon-wrapped-dates	0.5
cherry-pie	0.5
berry-crisp	0.5
bacon-and-egg-breakfast-sandwich	0.5
bacon-wrapped-shrimp-skewers	0.0
bacon-wrapped-chicken	1.0
bacon-wrapped-asparagus	0.5
bacon-mac-and-cheese	0.5
chicken-alfredo-lasagna	1.0
classic-beef-lasagna	1.0
vegetarian-mushroom-lasagna	0.0
spinach-and-ricotta-lasagna	0.5
