question_id	question_rank	document_title	paragraph_index
1	1	Buddhism	31
1	2	University_of_Kansas	15
1	3	MP3	11
1	4	Southern_Europe	24
1	5	Wayback_Machine	9
4	1	University_of_Kansas	15
4	2	National_Archives_and_Records_Administration	27
4	3	Materialism	6
4	4	Josip_Broz_Tito	32
4	5	Aspirated_consonant	17
7	1	University_of_Kansas	15
7	2	Beyoncé	25
7	3	Kanye_West	65
7	4	The_Times	35
7	5	Marshall_Islands	42
10	1	The_Times	35
10	2	BBC_Television	30
10	3	Hunter-gatherer	2
10	4	Estonian_language	24
10	5	Architecture	8
13	1	The_Times	35
13	2	Estonian_language	24
13	3	Aspirated_consonant	17
13	4	Architecture	8
13	5	Phonology	13
16	1	Materialism	6
16	2	University_of_Kansas	15
16	3	Aspirated_consonant	31
16	4	Szlachta	3
16	5	National_Archives_and_Records_Administration	27
19	1	BBC_Television	30
19	2	University_of_Kansas	15
19	3	The_Times	35
19	4	Aspirated_consonant	17
19	5	2008_Summer_Olympics_torch_relay	73
22	1	Immunology	8
22	2	Architecture	8
22	3	Aspirated_consonant	17
22	4	University_of_Kansas	15
22	5	BBC_Television	30
25	1	2008_Summer_Olympics_torch_relay	73
25	2	BBC_Television	30
25	3	University_of_Kansas	15
25	4	Estonian_language	24
25	5	Materialism	6
28	1	University_of_Kansas	15
28	2	Wayback_Machine	9
28	3	Materialism	6
28	4	National_Archives_and_Records_Administration	27
28	5	Bern	49
31	1	University_of_Kansas	15
31	2	2008_Summer_Olympics_torch_relay	73
31	3	BBC_Television	30
31	4	Aspirated_consonant	5
31	5	Materialism	6
34	1	National_Archives_and_Records_Administration	27
34	2	Materialism	6
34	3	Aspirated_consonant	31
34	4	Bird_migration	38
34	5	University_of_Kansas	15
37	1	University_of_Kansas	15
37	2	MP3	11
37	3	Wayback_Machine	9
37	4	2008_Summer_Olympics_torch_relay	73
37	5	BBC_Television	30
40	1	Materialism	6
40	2	Wood	46
40	3	Aspirated_consonant	17
40	4	University_of_Kansas	15
40	5	Bern	49
43	1	The_Times	35
43	2	University_of_Kansas	15
43	3	Architecture	8
43	4	Dog	69
43	5	National_Archives_and_Records_Administration	27
46	1	MP3	11
46	2	Black_people	11
46	3	Wayback_Machine	9
46	4	National_Archives_and_Records_Administration	18
46	5	University_of_Kansas	15
49	1	University_of_Kansas	15
49	2	Szlachta	3
49	3	Bern	49
49	4	National_Archives_and_Records_Administration	27
49	5	Materialism	6
52	1	National_Archives_and_Records_Administration	27
52	2	University_of_Kansas	15
52	3	Immunology	8
52	4	Architecture	8
52	5	Aspirated_consonant	5
55	1	University_of_Kansas	15
55	2	2008_Summer_Olympics_torch_relay	73
55	3	MP3	11
55	4	Wayback_Machine	9
55	5	Hunter-gatherer	10
58	1	University_of_Kansas	15
58	2	Aspirated_consonant	17
58	3	BBC_Television	30
58	4	Wood	46
58	5	Materialism	6
61	1	Beyoncé	25
61	2	Wood	46
61	3	2008_Summer_Olympics_torch_relay	73
61	4	Estonian_language	24
61	5	Sony_Music_Entertainment	22
64	1	University_of_Kansas	15
64	2	Russian_Soviet_Federative_Socialist_Republic	20
64	3	Estonian_language	24
64	4	BBC_Television	30
64	5	Alexander_Graham_Bell	0
67	1	2008_Summer_Olympics_torch_relay	73
67	2	Architecture	8
67	3	Aspirated_consonant	5
67	4	Materialism	6
67	5	Beyoncé	25
70	1	2008_Summer_Olympics_torch_relay	73
70	2	Daylight_saving_time	13
70	3	Architecture	8
70	4	Materialism	6
70	5	Aspirated_consonant	17
73	1	University_of_Kansas	15
73	2	The_Times	35
73	3	Estonian_language	24
73	4	2008_Summer_Olympics_torch_relay	73
73	5	Architecture	8
76	1	Dog	69
76	2	Materialism	6
76	3	The_Times	35
76	4	Aspirated_consonant	31
76	5	Architecture	8
79	1	Marshall_Islands	42
79	2	Black_people	11
79	3	Aspirated_consonant	31
79	4	Aspirated_consonant	5
79	5	Buddhism	31
82	1	Canadian_Armed_Forces	41
82	2	Near_East	18
82	3	Architecture	8
82	4	Saint_Helena	78
82	5	Aspirated_consonant	17
85	1	Architecture	8
85	2	Aspirated_consonant	17
85	3	BBC_Television	30
85	4	Hunter-gatherer	2
85	5	Dog	69
88	1	Near_East	18
88	2	Architecture	8
88	3	Materialism	6
88	4	University_of_Kansas	15
88	5	National_Archives_and_Records_Administration	27
91	1	Aspirated_consonant	17
91	2	Alexander_Graham_Bell	0
91	3	Materialism	6
91	4	Near_East	18
91	5	University_of_Kansas	15
94	1	Estonian_language	24
94	2	University_of_Kansas	15
94	3	Materialism	6
